"x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints"
-1.56448102103799,-0.8,-0.381915869023255,-0.55186,-0.525418487668174,0.000458527937380413,0.989199805381783,16,3,0.613312239180727,-0.2223,0.00076729,1,1,1.96656841850784,0.7532379815402,31622,2
-3.75,-1.57453898808928,-0.5438,-0.649092312976479,-1.73146935088808,0.000869183585607195,0.97950756041913,44,1,4.74371708551557,-0.0484,0.33246756,0,1,1.6884063366968,0.991892346914624,3162,1
-1.57453898808928,-0.8,-0.649055499256832,-0.7633,-14.3649706062019,0.000374386430365442,0.980148526081082,16,2,0.612962450020415,-0.1475,0.22800625,0,0.129215642284408,1.7022072424984,1,3162,1
-3.75,-2.57424689579734,-0.5507625,-0.592442947543984,-2.71161156728644,2.6592778090424e-05,0.992706169464408,24,1,1.38413262174966,-0.03545,0.3475692025,0,0.894451648354228,2.13704433127616,0.999912109725635,3162,2
-2.57424689579734,-1.33308887602306,-0.592372986630133,-0.675989802422326,-2.54460200166999,0.00010827547751903,0.992709323524499,25,2,1.54746500193323,-0.06737,0.3109512169,0,1,2.13723217319824,1,3162,2
-1.33308887602306,-0.8,-0.675975697785203,-0.76836,-16.1209503165164,7.71541492097147e-05,0.990713585318965,11,3,0.292718609035247,-0.1733,0.20403289,1,0.189160083536337,2.03215192699505,0.950833490380247,3162,2
-1.4,-1.17481708319814,-0.5305842,-0.532114768285502,-0.227602915351904,7.6030060398704e-08,0.938370056591902,5,1,0.0507096886586682,-0.006797,0.059147699209,0,0.360891489296157,1.2102082310615,0.492949279875338,3162,1
-1.17481708319814,-0.8,-0.532104162672617,-0.537048,-0.67689575953281,6.43261036827115e-08,0.996492772043161,8,2,0.140512287384684,-0.01319,0.0560789761,0,1,2.45503600566686,1,3162,1
-1.4,-1.29139580718108,-0.5306598,-0.531066305493721,-0.314089089399511,3.80784439767331e-10,0.994610564312811,3,1,0.0117950359445666,-0.003743,0.060642510049,0,0.188430621208433,2.26845670619922,0.638783181544475,3162,2
-1.29139580718108,-1.04121721904498,-0.531091999856886,-0.533708867888789,-0.382287414282633,7.71320728268826e-10,0.999718949381237,5,2,0.062596173960067,-0.01046,0.0573794116,0,1,3.55121545422416,1,3162,2
