"dataset_id","x.start","x.end","y.start","y.end","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
3,-1.35,-1.06115037868299,-0.44764,-0.494318098804829,9.95446699182321e-07,0.999129327872993,6,1,0.0856129486430157,-0.1616,0.00781456,0,1,3.06014535847011,0.907701460008924,31622,1,0.125
3,-1.06115037868299,-0.8,-0.494358018386894,-0.5334,4.16158600762958e-07,0.999574707805776,6,2,0.069723796614545,-0.1495,0.01010025,0,0.814407139570389,3.37131258821599,1,31622,1,0.125
3,-1.35,-1.24785576827203,-0.448205,-0.463495991489677,1.37744446891591e-09,0.999987713220619,3,1,0.010667258496035,-0.1497,0.01006009,0,0.11742964867025,4.91056193976938,1,31622,2,0.125
3,-1.24785576827203,-1.09807896002628,-0.463412375162027,-0.488724655755559,2.97204125150816e-09,0.999979187650472,3,2,0.0230738038371292,-0.169,0.006561,1,0.25400609529501,4.68167888906284,0.953389641854861,31622,2,0.125
3,-1.09807896002628,-0.8,-0.488727387580069,-0.53332,4.16158600762958e-07,0.999574707805776,6,3,0.0908395674927827,-0.1496,0.01008016,0,1,3.37131258821599,0.686543134893095,31622,2,0.125
4,-2.1,-1.23224612887081,0.22473,-0.409858405956774,0.000324002091023501,0.999500017702947,18,1,1.15569922583445,-0.7313,0.000349690000000002,0,1,3.30104537252025,1,20000,1,0.375
4,-1.23224612887081,-0.8,-0.409764675749391,-0.60246,7.30530238789436e-05,0.997555410016431,9,2,0.223968203911851,-0.4458,0.09253764,0,0.193794543515541,2.61179397204374,0.79120208216033,20000,1,0.375
4,-2.1,-1.27365121757428,0.22498,-0.381394736543996,0.000284614076914749,0.999481962826045,17,1,1.05054263133528,-0.7338,0.00026244,1,1,3.28563907449362,1,20000,2,0.375
4,-1.27365121757428,-1.02064817093858,-0.380475720985238,-0.509102469894828,1.0562514884686e-05,0.998366442331883,5,2,0.080555382141997,-0.5084,0.05837056,0,0.0766797840841626,2.78686552938376,0.848195880983449,20000,2,0.375
4,-1.02064817093858,-0.8,-0.50954987967244,-0.59878,5.02145366730544e-06,0.998779477167209,5,3,0.0566476297122099,-0.4044,0.11943936,0,0.053922256958015,2.91345409165665,0.886723716635149,20000,2,0.375
5,-1.65,-1.1946352104798,-0.38885,-0.500414373432448,1.36926229043964e-05,0.998895369542283,10,1,0.219803700954147,-0.245,2.5e-05,0,1,2.95678298624725,1,31622,1,0.125
5,-1.1946352104798,-0.8,-0.500417508280252,-0.55614,3.38418920782312e-06,0.998386340760871,8,2,0.158841945433896,-0.1412,0.01183744,0,0.722653643884876,2.79218817109517,0.944333143177008,31622,1,0.125
5,-1.65,-1.34391373674274,-0.389285,-0.463082398071325,6.74115417385957e-06,0.998305859336345,7,1,0.0991348565168878,-0.2411,7.92099999999998e-05,0,0.610217483707743,2.77105053325389,0.99242972301792,31622,2,0.125
5,-1.34391373674274,-1.19914076651451,-0.463005171251623,-0.499878846768753,9.22671529732711e-07,0.996634282015151,3,2,0.0223188808548465,-0.2547,2.20899999999998e-05,1,0.137382266872977,2.4729222765821,0.885657457538816,31622,2,0.125
5,-1.19914076651451,-0.8,-0.499920722304711,-0.556,3.38418920782312e-06,0.998386340760871,8,3,0.162458236880619,-0.1405,0.01199025,0,1,2.79218817109517,1,31622,2,0.125
