"dataset_id","x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
169,-1.9516050487851,-1.28925994306676,-0.444971596097192,-0.497959204554659,-15.1647611866553,7.91957187206227e-06,0.997829076873635,14,2,0.441508725719079,-0.08,0.297025,0,1,2.6633555548903,1,3162,2,0.3125
169,-1.28925994306676,-0.8,-0.497911817372739,-0.68158,-13.9381435991691,0.000197952966611131,0.99323386858462,10,3,0.273109293199288,-0.3754,0.06230016,1,0.618581870051332,2.16965957136919,0.814633843155261,3162,2,0.3125
170,-1.7,-1.12379628951414,-0.0522300000000002,-0.517860218443625,-0.441583437332871,0.00130330241174533,0.994448313089461,12,1,0.548822216305531,-0.8081,0.00337561,0,1,2.25557503406244,1,3162,1,0.375
170,-1.12379628951414,-0.8,-0.51761118750197,-0.62822,-0.606449528925389,0.000199843291304551,0.976100611856882,7,2,0.117078346505348,-0.3416,0.16679056,0,0.2133265436911,1.6216132174397,0.718935611961913,3162,1,0.375
170,-1.7,-1.53055548309162,-0.0310000000000006,-0.205527852415626,-0.257809522301496,7.08921890145598e-06,0.999465416556156,4,1,0.0591714155791229,-1.03,1000000.0784,0,0.183214996086204,3.27198449555781,1,3162,2,0.375
170,-1.53055548309162,-1.07187714402608,-0.206398664118477,-0.541921869144922,-0.488621231850821,0.000115496215904416,0.99856295440749,9,2,0.322961639839144,-0.7315,0.000342249999999999,1,1,2.84252945297812,0.868747836928099,3162,2,0.375
170,-1.07187714402608,-0.8,-0.541525901067954,-0.6254,-0.685886462434801,7.3069342393047e-05,0.982754269070862,6,3,0.0809520459154409,-0.3085,0.19492225,0,0.250655297501463,1.76331839411978,0.538914043301163,3162,2,0.375
171,-2.05,-1.61428124087486,0.0285399999999998,-0.328226519971663,-0.830179843961098,0.000613163015241945,0.993940944236013,9,1,0.31713318682624,-0.8188,0.00473344,1,0.414359410597055,2.21759505049402,1,31622,1,0.375
171,-1.61428124087486,-0.8,-0.328710328584354,-0.64856,-0.37915107985936,0.00172416213659239,0.98916386395274,17,2,0.765357751545402,-0.3928,0.12759184,0,1,1.96512555105459,0.886151667148071,31622,1,0.375
171,-2.05,-1.67154700885638,0.0308200000000001,-0.287231893757099,-0.922725151153156,0.00045156373560291,0.993947221310145,8,1,0.244383673628031,-0.8404,0.00817216000000001,0,0.584378904981232,2.21804520507831,0.718622120915305,31622,2,0.375
